gene	WT5_N	WT6_N	WT7_N	WT8_N	Wt11N	Wt13N	Wt14N	Wt17N	Wt19N	Wt20N	Wt0O	WT1_O	WT2_O	WT3_O	WT4_O
K21741	2.646647063460851	2.46591641091141	4.825344811776712	4.170820228577873	4.575090033818025	5.558266665814286	4.434116258813116	3.19470454833113	3.8377965984555775	4.115760211763481	2.57115215848046	3.191428404917504	2.6020806169187125	2.419939736100614	2.192731835693646
K21742	4.0902727344394965	3.604031677485907	4.101543090010205	4.379361240006767	3.4313175253635193	2.9254035083233085	4.711248524988936	3.514175003164243	3.8377965984555775	3.527794467225841	3.3424978060245976	3.8297140859010046	3.5313951229611096	3.0249246701257677	2.361403515362388
K21746	8.902358304368317	6.449319843922149	7.238017217665068	6.464771354295704	4.575090033818025	4.680645613317294	4.988380791164755	4.472586367663582	3.0154116130722395	5.8796574453764014	5.14230431696092	3.6169521922398378	6.8769273447137405	6.654834274276689	4.722807030724776
K21901	5.533898405418142	3.9834034330107393	36.91388781009185	21.896806200033836	4.575090033818025	3.2179438591556395	0.8313967985274593	4.1531159128304695	1.9188982992277888	3.527794467225841	0.0	0.42552378732233387	0.7434516048339178	0.7562311675314419	0.506015039006226
K21905	196.0924869745994	139.7984919109007	682.5450236258159	468.38311166929515	135.2510991247454	97.12339647633384	86.74239931303158	119.80142056241738	77.30418862603378	83.78511859661371	38.82439759305494	34.25466487944787	38.65948345136373	38.11405084358467	38.9631580034794
K21906	93.3544600566191	98.44697055869398	241.02597334824677	216.25702885176273	104.94112765070096	140.71190875035114	77.87416679540536	114.37042283025445	93.75188833370053	145.81550464533476	34.96766935533425	41.48856926392755	46.651588203328345	45.525116285392805	45.71002519022908
K21907	95.51989856308707	59.56136561739867	1166.5271082470201	677.5497461324755	42.89146906704399	26.913712276574437	14.410877841142627	27.47445911564772	13.158159766133409	37.04184190587133	4.113843453568736	2.978666511256337	2.2303548145017538	3.6299096041509213	2.192731835693646
K21908	312.06374920988395	155.54241976518125	1437.4702194282827	904.0252845442541	193.58349705592522	136.32380348786617	75.37997639982298	212.76732291885327	124.18013279288405	191.97081559153952	3.8567282377206897	7.021142490818509	6.8769273447137405	7.108572974795554	7.252882225755906
K21948	5.052689848425261	8.156492743783895	9.409422382964589	4.170820228577873	4.575090033818025	4.973185964149624	5.819777589692215	6.708879551495373	3.563668269994465	3.527794467225841	6.427880396201149	2.978666511256337	5.9476128386713425	5.142371939213805	4.21679199171855
K21963	1.2030213924822049	2.655602288673826	1.4476034435330136	1.6683280914311494	1.7156587626817597	2.9254035083233085	3.6027194602856567	1.277881819332452	3.289539941533352	1.7638972336129204	1.28557607924023	1.0638094683058346	0.18586290120847945	0.45373870051886517	1.180701757681194
K21964	9.86477541835408	8.346178621546311	16.888706841218493	10.84413259430247	9.722066321863304	14.334477190784211	13.02521651026353	11.181465919158954	13.706416423055634	11.465332018483982	7.970571691289425	7.2339043844796755	9.664870862840932	6.3523418072641125	7.252882225755906
K21965	1.684229949475087	0.9484293888120807	1.930137924710685	0.20854101142889367	1.429715635568133	2.9254035083233085	1.3856613308790988	0.9584113644993391	2.467154956150014	2.0578801058817406	2.056921726784368	0.8510475746446677	2.044491913293274	1.3612161015565956	0.674686718674968
