category_id,category_name,k_study_hits,n_study_total,K_background_hits,N_background_total,gene_ratio,bg_ratio,fold_enrichment,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,study_items,q_value
05207,Chemical carcinogenesis - receptor activation,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
00860,Porphyrin metabolism,0,107,44,780,0/107,44/780,0.0,0.06579566239874575,0.004021567342441389,1.0764631850878466,1.0,,1.0
04070,Phosphatidylinositol signaling system,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
00333,Prodigiosin biosynthesis,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
05133,Pertussis,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
00791,Atrazine degradation,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
04217,Necroptosis,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
00261,Monobactam biosynthesis,0,107,5,780,0/107,5/780,0.0,0.5653276955602538,0.03103570494658982,10.297668569715661,1.0,,1.0
00730,Thiamine metabolism,0,107,9,780,0/107,9/780,0.0,0.32533659730722153,0.01879711463110738,5.6308589708912,1.0,,1.0
01320,Sulfur cycle,0,107,5,780,0/107,5/780,0.0,0.5653276955602538,0.03103570494658982,10.297668569715661,1.0,,1.0
00920,Sulfur metabolism,0,107,10,780,0/107,10/780,0.0,0.2939091915836102,0.017096507166550486,5.052646839252629,1.0,,1.0
01232,Nucleotide metabolism,0,107,22,780,0/107,22/780,0.0,0.13467700258397933,0.008108992420472893,2.23676310008777,1.0,,1.0
01523,Antifolate resistance,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
00071,Fatty acid degradation,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
00561,Glycerolipid metabolism,0,107,12,780,0/107,12/780,0.0,0.24613953488372092,0.014466095810132612,4.188045719311399,1.0,,1.0
00310,Lysine degradation,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
04066,HIF-1 signaling pathway,0,107,4,780,0/107,4/780,0.0,0.6919896640826874,0.03699145015649181,12.944874914919621,1.0,,1.0
01212,Fatty acid metabolism,0,107,11,780,0/107,11/780,0.0,0.2679474216380182,0.01567380055321285,4.580626155010314,1.0,,1.0
00061,Fatty acid biosynthesis,0,107,11,780,0/107,11/780,0.0,0.2679474216380182,0.01567380055321285,4.580626155010314,1.0,,1.0
00780,Biotin metabolism,0,107,11,780,0/107,11/780,0.0,0.2679474216380182,0.01567380055321285,4.580626155010314,1.0,,1.0
00983,Drug metabolism - other enzymes,0,107,5,780,0/107,5/780,0.0,0.5653276955602538,0.03103570494658982,10.297668569715661,1.0,,1.0
00790,Folate biosynthesis,0,107,13,780,0/107,13/780,0.0,0.22756244616709734,0.013428124797118397,3.856433246484704,1.0,,1.0
00710,Carbon fixation by Calvin cycle,0,107,13,780,0/107,13/780,0.0,0.22756244616709734,0.013428124797118397,3.856433246484704,1.0,,1.0
00332,Carbapenem biosynthesis,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
00966,Glucosinolate biosynthesis,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
04122,Sulfur relay system,0,107,4,780,0/107,4/780,0.0,0.6919896640826874,0.03699145015649181,12.944874914919621,1.0,,1.0
00550,Peptidoglycan biosynthesis,0,107,18,780,0/107,18/780,0.0,0.16480201131363922,0.009858008795216987,2.755090150274415,1.0,,1.0
04981,Folate transport and metabolism,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
04918,Thyroid hormone synthesis,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
00750,Vitamin B6 metabolism,0,107,4,780,0/107,4/780,0.0,0.6919896640826874,0.03699145015649181,12.944874914919621,1.0,,1.0
04980,Cobalamin transport and metabolism,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
00760,Nicotinate and nicotinamide metabolism,0,107,9,780,0/107,9/780,0.0,0.32533659730722153,0.01879711463110738,5.6308589708912,1.0,,1.0
00290,"Valine, leucine and isoleucine biosynthesis",0,107,10,780,0/107,10/780,0.0,0.2939091915836102,0.017096507166550486,5.052646839252629,1.0,,1.0
00970,Aminoacyl-tRNA biosynthesis,0,107,44,780,0/107,44/780,0.0,0.06579566239874575,0.004021567342441389,1.0764631850878466,1.0,,1.0
04112,Cell cycle - Caulobacter,0,107,8,780,0/107,8/780,0.0,0.36415868673050616,0.02086563479726826,6.355500343495347,1.0,,1.0
04621,NOD-like receptor signaling pathway,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
00906,Carotenoid biosynthesis,0,107,7,780,0/107,7/780,0.0,0.41333333333333333,0.023435503290692498,7.289984018064419,1.0,,1.0
03070,Bacterial secretion system,0,107,13,780,0/107,13/780,0.0,0.22756244616709734,0.013428124797118397,3.856433246484704,1.0,,1.0
04156,Integrated stress response (ISR) signaling pathway,0,107,4,780,0/107,4/780,0.0,0.6919896640826874,0.03699145015649181,12.944874914919621,1.0,,1.0
03060,Protein export,0,107,14,780,0/107,14/780,0.0,0.21154771451483562,0.012526483134533455,3.5726256951622175,1.0,,1.0
03020,RNA polymerase,0,107,4,780,0/107,4/780,0.0,0.6919896640826874,0.03699145015649181,12.944874914919621,1.0,,1.0
