category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00126,"Tetrahydrofolate biosynthesis, GTP => THF",8,-0.6707376754219604,-1.405364439382578,0.12413108242303873,4,"K01495,K00796,K00287,K00950",0.36988036593947926
M01006,"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",4,0.785619615639506,1.3569070247096242,0.12413793103448276,4,"K01809,K01840,K01711,K00971",0.36988036593947926
M00002,"Glycolysis, core module involving three-carbon compounds",8,0.6640412065626404,1.372167651551008,0.1527638190954774,6,"K01689,K00927,K15633,K01803,K00873,K01834",0.44607035175879406
M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",3,0.7957139428768871,1.3097466647174998,0.156,2,"K01195,K00012",0.4465882352941176
M00028,"Ornithine biosynthesis, glutamate => ornithine",5,-0.7069298536803512,-1.326611774430635,0.1691995947315096,1,K01438,0.46774074074074073
M00016,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",11,-0.5865541305705697,-1.3164105436471376,0.17148760330578514,7,"K12525,K00133,K01778,K00215,K01439,K12524,K00928",0.46774074074074073
M01000,"GDP-Man biosynthesis, Fru-6P => GDP-Man",3,0.7853593905266705,1.292703051837843,0.173,3,"K01809,K01840,K00971",0.46774074074074073
M00004,Pentose phosphate pathway (Pentose phosphate cycle),9,0.6069934247171124,1.301288953340309,0.17891682785299806,6,"K01810,K07404,K00615,K00036,K00616,K01808",0.47494285211886755
M00960,"Lysine degradation, bacteria, L-lysine => D-lysine => succinate",4,-0.7209294034581369,-1.2884168073325148,0.19047619047619047,2,"K25986,K15737",0.48570009930486596
M00909,"UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc",3,-0.7810533289168343,-1.2749563299077822,0.19261477045908185,3,"K03431,K04042,K00820",0.48570009930486596
M00879,"Arginine succinyltransferase pathway, arginine => glutamate",5,0.7066223258976696,1.2829206215695028,0.1960591133004926,2,"K00840,K00673",0.48570009930486596
M00621,Glycine cleavage system,3,-0.7752935666455828,-1.2655543529945283,0.1996007984031936,2,"K00281,K00605",0.48570009930486596
M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",8,-0.6203832947925124,-1.2998593239002216,0.19960278053624628,6,"K12525,K00133,K01778,K00215,K12524,K00928",0.48570009930486596
M00061,"Glucuronate degradation, glucuronate => pyruvate + glyceraldehyde-3P",6,-0.6522578645247886,-1.275288882497533,0.21052631578947367,3,"K01686,K08323,K01812",0.49936780677581455
